dt,dt_iso,city_name,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,rain_1h,clouds_all,weather_description
,2023-03-17 03:00:00 +0000 UTC,,10.7,8.5,7.3,10.8,,1009.6,986.5,96,4.39,,100.0,
,2023-03-17 04:00:00 +0000 UTC,,10.5,8.0,7.3,10.8,,1009.5,986.4,92,4.57,,100.0,
,2023-03-17 05:00:00 +0000 UTC,,10.5,7.7,7.3,10.8,,1010.1,986.9,92,5.01,,100.0,
,2023-03-17 06:00:00 +0000 UTC,,10.1,7.4,7.3,10.8,,1010.7,987.5,93,4.7,,100.0,
,2023-03-17 07:00:00 +0000 UTC,,10.3,8.1,7.3,10.8,,1011.2,988.0,93,3.81,,100.0,
,2023-03-17 08:00:00 +0000 UTC,,10.5,7.3,7.3,10.8,,1012.0,988.8,92,5.66,,100.0,
,2023-03-17 09:00:00 +0000 UTC,,10.9,7.8,7.3,10.8,,1012.0,988.8,93,5.75,,100.0,
,2023-03-17 10:00:00 +0000 UTC,,11.7,8.6,7.3,10.8,,1012.2,989.1,87,5.8,,100.0,
,2023-03-17 11:00:00 +0000 UTC,,12.2,9.6,7.3,10.8,,1013.1,990.0,88,5.22,,100.0,
,2023-03-17 12:00:00 +0000 UTC,,12.7,9.0,7.3,10.8,,1012.7,989.7,78,6.55,,48.0,
,2023-03-17 13:00:00 +0000 UTC,,14.0,10.8,7.3,10.8,,1012.8,989.9,76,6.22,,57.0,
,2023-03-17 14:00:00 +0000 UTC,,13.1,10.0,7.3,10.8,,1012.8,989.8,80,5.76,,75.0,
,2023-03-17 15:00:00 +0000 UTC,,11.7,9.0,7.3,10.8,,1013.5,990.4,86,4.92,,100.0,
,2023-03-17 16:00:00 +0000 UTC,,12.0,9.2,7.3,10.8,,1013.5,990.4,85,5.06,,73.0,
,2023-03-17 17:00:00 +0000 UTC,,11.6,9.2,7.3,10.8,,1013.7,990.5,84,4.11,,42.0,
,2023-03-17 18:00:00 +0000 UTC,,11.3,9.0,7.3,10.8,,1014.0,990.8,85,3.85,,45.0,
,2023-03-17 19:00:00 +0000 UTC,,10.0,7.8,7.3,10.8,,1014.7,991.4,89,3.28,,81.0,
,2023-03-17 20:00:00 +0000 UTC,,9.9,8.3,7.3,10.8,,1015.1,991.8,89,2.26,,53.0,
,2023-03-17 21:00:00 +0000 UTC,,9.7,8.2,7.3,10.8,,1015.7,992.4,90,1.96,,54.0,
,2023-03-17 22:00:00 +0000 UTC,,9.0,7.6,7.3,10.8,,1015.7,992.3,93,1.6,,26.0,
,2023-03-17 23:00:00 +0000 UTC,,9.0,7.5,7.3,10.8,,1015.7,992.3,93,1.75,,65.0,
,2023-03-18 00:00:00 +0000 UTC,,9.0,7.5,5.0,12.7,,1016.1,992.7,90,1.7,,94.0,
,2023-03-18 01:00:00 +0000 UTC,,9.3,7.9,5.0,12.7,,1016.1,992.7,88,1.39,,100.0,
,2023-03-18 02:00:00 +0000 UTC,,9.9,8.3,5.0,12.7,,1016.2,992.9,90,2.39,,100.0,
,2023-03-18 03:00:00 +0000 UTC,,10.0,8.6,5.0,12.7,,1016.1,992.8,92,2.04,,100.0,
,2023-03-18 04:00:00 +0000 UTC,,10.0,8.5,5.0,12.7,,1016.2,992.9,95,2.57,,100.0,
,2023-03-18 05:00:00 +0000 UTC,,10.1,9.0,5.0,12.7,,1016.3,993.0,93,1.5,,100.0,
,2023-03-18 06:00:00 +0000 UTC,,9.9,8.7,5.0,12.7,,1016.7,993.3,94,1.89,,100.0,
,2023-03-18 07:00:00 +0000 UTC,,9.8,8.7,5.0,12.7,,1017.2,993.8,94,1.63,,100.0,
,2023-03-18 08:00:00 +0000 UTC,,10.5,9.4,5.0,12.7,,1017.9,994.6,95,2.06,,100.0,
,2023-03-18 09:00:00 +0000 UTC,,11.8,10.5,5.0,12.7,,1018.5,995.3,87,2.4,,100.0,
,2023-03-18 10:00:00 +0000 UTC,,12.2,11.1,5.0,12.7,,1019.0,995.8,88,2.4,,90.0,
,2023-03-18 11:00:00 +0000 UTC,,13.6,12.0,5.0,12.7,,1019.3,996.2,80,3.28,,100.0,
,2023-03-18 12:00:00 +0000 UTC,,14.1,12.3,5.0,12.7,,1019.5,996.4,77,3.42,,100.0,
,2023-03-18 13:00:00 +0000 UTC,,14.3,12.3,5.0,12.7,,1019.7,996.6,75,3.89,,50.0,
,2023-03-18 14:00:00 +0000 UTC,,14.8,12.5,5.0,12.7,,1019.4,996.4,72,4.33,,38.0,
,2023-03-18 15:00:00 +0000 UTC,,15.3,12.7,5.0,12.7,,1019.3,996.3,69,4.8,,100.0,
,2023-03-18 16:00:00 +0000 UTC,,14.9,12.2,5.0,12.7,,1019.6,996.6,71,4.9,,52.0,
,2023-03-18 17:00:00 +0000 UTC,,14.3,11.8,5.0,12.7,,1019.7,996.6,71,4.24,,33.0,
,2023-03-18 18:00:00 +0000 UTC,,13.5,11.7,5.0,12.7,,1020.4,997.2,75,2.97,,32.0,
,2023-03-18 19:00:00 +0000 UTC,,11.1,9.7,5.0,12.7,,1020.8,997.4,87,2.19,,18.0,
,2023-03-18 20:00:00 +0000 UTC,,9.9,8.5,5.0,12.7,,1021.6,998.1,91,1.84,,11.0,
,2023-03-18 21:00:00 +0000 UTC,,9.2,7.7,5.0,12.7,,1022.2,998.7,93,1.84,,32.0,
,2023-03-18 22:00:00 +0000 UTC,,7.7,5.8,5.0,12.7,,1022.6,998.9,95,2.25,,27.0,
,2023-03-18 23:00:00 +0000 UTC,,7.1,5.0,5.0,12.7,,1022.8,999.1,96,2.28,,4.0,
,2023-03-19 00:00:00 +0000 UTC,,6.9,4.7,2.5,17.4,,1023.6,999.8,98,2.51,,36.0,
,2023-03-19 01:00:00 +0000 UTC,,6.9,5.1,2.5,17.4,,1023.4,999.6,98,1.92,,40.0,
,2023-03-19 02:00:00 +0000 UTC,,6.9,5.1,2.5,17.4,,1023.3,999.5,97,1.8,,28.0,
,2023-03-19 03:00:00 +0000 UTC,,6.3,4.2,2.5,17.4,,1022.8,999.0,98,2.09,,31.0,
,2023-03-19 04:00:00 +0000 UTC,,6.0,4.0,2.5,17.4,,1023.0,999.2,98,1.89,,30.0,
,2023-03-19 05:00:00 +0000 UTC,,5.6,3.6,2.5,17.4,,1023.7,999.8,98,1.57,,38.0,
,2023-03-19 06:00:00 +0000 UTC,,4.6,2.5,2.5,17.4,,1023.7,999.7,98,1.43,,38.0,
,2023-03-19 07:00:00 +0000 UTC,,5.4,3.7,2.5,17.4,,1023.7,999.8,98,1.08,,52.0,
,2023-03-19 08:00:00 +0000 UTC,,6.7,5.0,2.5,17.4,,1023.8,1000.0,95,1.52,,62.0,
,2023-03-19 09:00:00 +0000 UTC,,9.1,8.0,2.5,17.4,,1024.0,1000.4,92,1.12,,57.0,
,2023-03-19 10:00:00 +0000 UTC,,12.2,11.6,2.5,17.4,,1024.2,1000.9,78,0.32,,31.0,
,2023-03-19 11:00:00 +0000 UTC,,14.1,14.0,2.5,17.4,,1023.8,1000.6,68,0.32,,30.0,
,2023-03-19 12:00:00 +0000 UTC,,15.4,15.4,2.5,17.4,,1023.5,1000.4,58,0.71,,30.0,
,2023-03-19 13:00:00 +0000 UTC,,16.6,16.3,2.5,17.4,,1022.7,999.7,55,0.92,,30.0,
,2023-03-19 14:00:00 +0000 UTC,,17.3,17.3,2.5,17.4,,1022.0,999.1,53,0.71,,30.0,
,2023-03-19 15:00:00 +0000 UTC,,17.8,17.4,2.5,17.4,,1021.7,998.9,53,0.81,,30.0,
,2023-03-19 16:00:00 +0000 UTC,,17.6,16.3,2.5,17.4,,1021.7,998.8,56,1.68,,29.0,
,2023-03-19 17:00:00 +0000 UTC,,16.5,15.0,2.5,17.4,,1021.9,999.0,63,2.64,,30.0,
,2023-03-19 18:00:00 +0000 UTC,,14.6,13.7,2.5,17.4,,1022.0,998.9,77,1.94,,0.0,
,2023-03-19 19:00:00 +0000 UTC,,10.8,9.7,2.5,17.4,,1022.1,998.7,90,1.8,,30.0,
,2023-03-19 20:00:00 +0000 UTC,,11.6,10.9,2.5,17.4,,1022.5,999.2,86,1.21,,16.0,
,2023-03-19 21:00:00 +0000 UTC,,11.1,10.5,2.5,17.4,,1022.6,999.2,88,0.81,,3.0,
,2023-03-19 22:00:00 +0000 UTC,,10.9,10.0,2.5,17.4,,1022.6,999.2,88,1.17,,8.0,
,2023-03-19 23:00:00 +0000 UTC,,10.3,9.2,2.5,17.4,,1022.7,999.2,88,1.22,,10.0,
,2023-03-20 00:00:00 +0000 UTC,,8.9,7.9,2.3,18.5,,1022.8,999.2,91,0.73,,28.0,
,2023-03-20 01:00:00 +0000 UTC,,6.6,4.8,2.3,18.5,,1022.5,998.7,94,1.51,,12.0,
,2023-03-20 02:00:00 +0000 UTC,,5.9,4.0,2.3,18.5,,1022.0,998.2,93,1.3,,29.0,
,2023-03-20 03:00:00 +0000 UTC,,5.6,3.5,2.3,18.5,,1021.4,997.6,93,1.4,,30.0,
