iter	RMSE
524	366641.8854
525	366469.1508
526	366367.2194
527	366301.8757
528	366181.0915
529	365883.6775
530	365675.313
531	365592.6745
532	365324.6815
533	365095.1525
534	364981.5037
535	364894.9126
536	364357.2263
537	363952.0009
538	363928.0403
539	363844.4968
540	363671.2701
541	363524.2593
542	363417.4767
543	363211.795
544	363006.2701
545	362940.8763
546	362468.3433
547	362374.4288
548	362350.2605
549	362328.6669
550	361969.1696
551	361820.5347
552	361768.4139
553	361628.2913
554	361444.8886
555	361284.7188
556	361226.9849
557	360998.401
558	360759.3789
559	360623.0387
560	360502.0672
561	360324.0095
562	360173.9727
563	359984.7233
564	359894.5447
565	359862.6486
566	359668.307
567	359516.3499
568	359393.0236
569	359286.8457
570	359129.4024
571	358842.0149
572	358760.4317
573	358722.7817
574	358668.5731
575	358396.1883
576	358274.4387
577	358091.5577
578	357988.9224
579	357849.631
580	357629.7144
581	357608.5056
582	357588.363
583	357502.964
584	357379.7291
585	357222.9196
586	357037.1928
587	356793.2236
588	356563.9129
589	356520.8889
590	356451.5589
591	356392.0938
592	356198.3361
593	355980.2395
594	355741.6388
595	355476.742
596	355343.2322
597	355253.2209
598	355183.5696
599	354752.772
600	354555.1282
601	354485.053
602	354353.9724
603	354052.4306
604	353849.9013
605	353801.6588
606	353720.8782
607	353515.4916
608	353335.2397
609	353118.4631
610	353050.2863
611	352653.6981
612	352601.577
613	352521.7584
614	352317.8019
615	352138.4262
616	352104.5129
617	351910.4084
618	351850.7787
619	351797.3663
620	351611.5198
621	351574.5675
622	351504.076
623	351401.3165
624	351359.326
625	351203.458
626	350970.1733
627	350884.8694
628	350738.4024
629	350485.2147
630	350328.6973
631	350240.6837
632	350151.6357
633	349988.2677
634	349895.8044
635	349843.2276
636	349676.8975
637	349534.0762
638	349384.35
639	349314.4964
640	349275.2051
641	349217.7234
642	349170.7103
643	349099.0181
644	349057.3341
645	348897.2434
646	348871.4518
647	348710.7207
648	348545.653
649	348354.5228
650	348304.0807
651	348230.7262
652	348166.7893
653	348071.226
654	347913.9353
655	347505.0918
656	347363.3632
657	347187.0821
658	346977.4804
659	346773.6139
660	346638.3042
661	346553.4931
662	346369.1148
663	346206.8698
664	345952.9806
665	345807.4502
666	345674.7797
667	345615.9639
668	345523.9976
669	345469.2501
670	345292.8416
671	345145.9066
672	345053.8812
673	344847.9788
674	344483.5252
675	344380.0828
676	344174.8034
677	344128.9261
678	344013.0831
679	343964.3603
680	343886.2135
681	343760.4922
682	343637.3156
683	343467.7896
684	343237.4543
685	343207.0033
686	342874.1673
687	342748.4525
688	342690.6919
689	342631.1237
690	342406.6303
691	342343.8348
692	342269.1401
693	342151.3411
694	342107.4449
695	342075.1344
696	341973.6897
697	341928.4197
698	341879.3691
699	341758.6747
700	341515.4749
701	341290.4216
702	341249.1023
703	341186.69
704	341077.6749
705	341044.3835
706	340977.3931
707	340770.1467
708	340672.7566
709	340512.5153
710	340405.8725
711	340378.6194
712	340213.7997
713	340035.6395
714	339991.3527
715	339958.6205
716	339602.8062
717	339523.2387
718	339382.6194
719	339334.6089
720	338999.1754
721	338902.4684
722	338873.4323
723	338786.913
724	338758.0621
725	338656.5913
726	338499.0528
727	338430.3887
728	338359.5923
729	338334.0011
730	338274.2724
731	338149.0869
732	337932.1644
733	337896.4507
734	337825.5426
735	337670.137
736	337592.008
737	337390.7049
738	337185.525
739	337088.1094
740	336863.0613
741	336820.509
742	336793.6172
743	336760.9741
744	336627.4688
745	336516.2008
746	336387.1478
747	336354.7774
748	336329.854
749	336247.9855
750	336182.4852
751	336102.6036
752	335988.0249
753	335956.9709
754	335571.8103
755	335537.1865
756	335264.2586
757	335215.2142
758	335045.7962
759	334967.7486
760	334848.541
761	334568.164
762	334384.9749
763	334288.5185
764	334235.1849
765	334149.0067
766	334110.9678
767	333848.5559
768	333745.367
769	333702.8967
770	333502.9321
771	333420.2835
772	333274.1124
773	333099.0668
774	333063.1354
775	333004.2295
776	332829.2576
777	332679.7341
778	332577.5253
779	332544.1769
780	332363.0064
781	332305.2657
782	332130.4158
783	332002.6527
784	331964.2848
785	331876.4099
786	331585.9909
787	331456.485
788	331403.4417
789	331288.9078
790	331036.492
791	330938.8003
792	330626.1939
793	330345.1426
794	330251.5891
795	330180.611
796	330091.9847
797	330052.6753
798	329987.0933
799	329906.1444
800	329770.9594
801	329636.0975
802	329550.3737
803	329413.876
804	329343.3857
805	329228.3858
806	329210.6567
807	329193.8853
808	329050.2702
809	328997.3043
810	328906.4806
811	328884.6899
812	328823.0942
813	328631.8987
814	328505.2652
815	328351.6433
816	328205.4933
817	328175.3864
818	328097.2503
819	328068.6087
820	328006.1605
821	327872.6988
822	327853.5468
823	327819.3434
824	327739.2252
825	327611.2801
826	327507.1905
827	327410.5392
828	327305.46
829	327224.8375
830	327198.0872
831	327094.6281
832	327082.6882
833	326893.4165
834	326830.3727
835	326793.8135
836	326723.0442
837	326659.0703
838	326462.5486
839	326208.1857
840	326167.0493
841	326017.9451
842	325784.6763
843	325753.2179
844	325622.3903
845	325523.6506
846	325504.3108
847	325358.7273
848	325316.99
849	325221.4781
850	325199.0673
851	325142.1694
852	325103.8483
853	324959.7754
854	324847.8377
855	324719.9455
856	324549.0621
857	324538.9273
858	324430.9995
859	324412.7243
860	324258.7418
861	324118.4472
862	323992.3266
863	323912.1497
864	323862.2353
865	323631.9969
866	323551.5433
867	323398.7368
868	323323.0725
869	323092.7948
870	323044.9179
871	323009.0188
872	322988.35
873	322821.0621
874	322724.9412
875	322592.7771
876	322559.228
877	322554.1609
878	322549.4005
879	322485.7041
880	322435.6405
881	322258.2902
882	322136.4611
883	321987.6584
884	321932.4701
885	321920.8398
886	321897.7846
887	321651.647
888	321494.3277
889	321419.779
890	321380.1444
891	321245.8457
892	321215.007
893	321060.2239
894	321002.3007
895	320985.2032
896	320955.9921
897	320882.3608
898	320726.9575
899	320608.5778
900	320591.9711
901	320547.7191
902	320467.6778
903	320251.0206
904	320133.6523
905	320017.5729
906	319988.0251
907	319799.1229
908	319740.5196
909	319678.9168
910	319584.5026
911	319506.7831
912	319475.0973
913	319414.0061
914	319405.5207
915	319273.873
916	319226.2067
917	319202.5606
918	318960.6565
919	318873.3689
920	318802.083
921	318687.916
922	318618.1494
923	318474.6166
924	318068.5061
925	317977.6629
926	317907.8721
927	317871.6773
928	317787.3065
929	317678.7494
930	317555.9722
931	317517.417
932	317461.0723
933	317409.4653
934	317363.5075
935	317330.2576
936	317300.9206
937	317187.05
938	317102.3293
939	317072.6498
940	317007.0621
941	316921.4427
942	316844.2657
943	316737.7296
944	316446.5454
945	316408.0177
946	316344.6056
947	316062.8715
948	316035.4034
949	315990.9544
950	315895.4977
951	315716.3416
952	315567.6346
953	315480.8166
954	315375.7217
955	315360.9409
956	315237.6325
957	315204.984
958	315170.0276
959	315063.7242
960	314980.4457
961	314891.9719
962	314861.4421
963	314527.4006
964	314483.0884
965	314455.9189
966	314374.2754
967	314192.045
968	314149.3165
969	314123.5685
970	314016.2279
971	313984.009
972	313920.5714
973	313864.1444
974	313800.1856
975	313729.2885
976	313649.8718
977	313579.0797
978	313564.9542
979	313441.3794
980	313414.9821
981	313351.5979
982	313301.5427
983	313245.8377
984	313122.683
985	313065.4765
986	313020.472
987	312624.3261
988	312601.4807
989	312471.0305
990	312465.7878
991	312389.1198
992	312331.8209
993	312179.6411
994	312171.7417
995	312098.9732
996	312046.6097
997	311890.7532
998	311827.0873
999	311757.4165
